"banner_image","fullname","images/0","images/1","images/2","images/3","in_reply_to/0","in_reply_to/1","in_reply_to/2","in_reply_to/3","language","likes","num_followers","num_following","query","quotes","replies","retweets","text","timestamp","total_likes","total_tweets","tweet_avatar","tweet_hashtags/0","tweet_hashtags/1","tweet_hashtags/2","tweet_hashtags/3","tweet_hashtags/4","tweet_hashtags/5","tweet_hashtags/6","tweet_hashtags/7","tweet_hashtags/8","tweet_hashtags/9","tweet_hashtags/10","tweet_hashtags/11","tweet_hashtags/12","tweet_hashtags/13","tweet_id","tweet_links/0","tweet_links/1","tweet_links/2","tweet_mentions/0","tweet_mentions/1","url","username"
,"pacar saya gepeng 🙏🏼",,,,,"@fullmoonfolks",,,,"id","0",,,"Gojek lang:in","0","0","0","Padahal tarif gojek dkk itu potongannya besar","2023-10-31 12:01:00+00:00",,,"https://pbs.twimg.com/profile_images/1717786037425233920/1kk_PSDY_400x400.jpg",,,,,,,,,,,,,,,"1719323587449078254",,,,,,"https://twitter.com/cindyatikaa/status/1719323587449078254","@cindyatikaa"
,"rea",,,,,"@fullmoonfolks",,,,"id","0",,,"Gojek lang:in","0","0","0","Mending harga pasti aja deh. Orang ke gojek itu gak mau ngurus tawar menawar tarif. Kasih harga yg win win solution buat penyedia jasa dan pemakainya","2023-10-31 12:00:00+00:00",,,"https://pbs.twimg.com/profile_images/1247076380480647168/I3aZgrhc_400x400.jpg",,,,,,,,,,,,,,,"1719323429709787375",,,,,,"https://twitter.com/moshmoshiy/status/1719323429709787375","@moshmoshiy"
,"j",,,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","gojek knp error mulu dah mau pake voucher aja gabisa","2023-10-31 12:01:00+00:00",,,"https://pbs.twimg.com/profile_images/1693815082365673472/rzJSqFIA_400x400.jpg",,,,,,,,,,,,,,,"1719323733524123743",,,,,,"https://twitter.com/jujuanthem/status/1719323733524123743","@jujuanthem"
,"cim","https://pbs.twimg.com/media/F9vNrnwbYAAGosR.jpg?format=jpg&name=medium",,,,,,,,"id","0",,,"Gojek lang:in","0","0","0","gue yang tiap naik gojek pake voucher tapi jarak lumayan jauh aja kadang merasa ga enak, apalagi ada adegan tawar menawar begini jir ga ngaruh buat orang-orang yang gabisa nawar+ga enakan 😭🙏🏻","2023-10-31 12:01:00+00:00",,,"https://pbs.twimg.com/profile_images/1699772342464053248/JQ_OuRDW_400x400.jpg",,,,,,,,,,,,,,,"1719323596894646408",,,,,,"https://twitter.com/jjvalsen/status/1719323596894646408","@jjvalsen"
,"kiussy",,,,,,,,,"pl","0",,,"Gojek lang:in","0","0","0","gojek spicy chicken ga ya LAGI PENGEN BGT DEMI TUHAN","2023-10-31 12:01:00+00:00",,,"https://pbs.twimg.com/profile_images/1712463962854535168/ryQ8WlLm_400x400.jpg",,,,,,,,,,,,,,,"1719323804571484486",,,,,,"https://twitter.com/livelovekuroo/status/1719323804571484486","@livelovekuroo"
,"ABI 아비 🍵",,,,,"@syaaonme",,,,"id","0",,,"Gojek lang:in","0","0","0","Faktor ga ngekost kali ya. Heheheh. Trs emng lg diet si😭. Jd jrg jajan di kampus. Dan kalo ngemall akhir2 ini brg ortu. Jadi duitnya aman😭. Cuma kepake buat gojek atau gofood doang. Sama jajan kpop si. Hehehe","2023-10-31 12:01:00+00:00",,,"https://pbs.twimg.com/profile_images/1679639764839075841/y3ZHDvzo_400x400.jpg",,,,,,,,,,,,,,,"1719323662237708577",,,,,,"https://twitter.com/bknacctogell/status/1719323662237708577","@bknacctogell"
,"ू❁ 🦋","https://pbs.twimg.com/media/F9wQVsebcAAlkva.jpg?format=jpg&name=medium",,,,,,,,"id","56",,,"Gojek lang:in","0","6","45","shope.ee/7ACTeyYI3E 

gda di jakarta sule galaxy s23 fe enhypen dapet layla sabana treasure jeongyeon halloween songkang dkriuk hate you vixx chanyeol jatinangor kimyoojung mydemon fajar olive giselle too sad to dance goldenbyjungkook gojek wooyoung yunho kembang salma durian","2023-10-31 08:16:00+00:00",,,"https://pbs.twimg.com/profile_images/1711395596337352704/_CpExV7E_400x400.jpg",,,,,,,,,,,,,,,"1719267124819235119","http://shope.ee/7ACTeyYI3E",,,,,"https://twitter.com/4ur_money/status/1719267124819235119","@4ur_money"
,"Aliya Zahrani",,,,,"@AliyaZahrani","@tanyakanrl",,,"id","0",,,"Gojek lang:in","0","0","0","ak trus naik motornya trnyata tujuannya beda trus turun minta maaf. Dtglah driverku pake atribut grab trus nyadar ak kan pesen grab ya, knp driver gojek malah disuruh nyamperin tanpa ditanya dlu yg mesennya siapa. Soalnya dlu biasanya driver pake atribut apa, ak pesen dr apk apa","2023-10-31 12:02:00+00:00",,,"https://pbs.twimg.com/profile_images/1332175516321792001/-xSMojFx_400x400.jpg",,,,,,,,,,,,,,,"1719323918329393321",,,,,,"https://twitter.com/AliyaZahrani/status/1719323918329393321","@AliyaZahrani"
,"Digital Talent Scholarship","https://pbs.twimg.com/media/F9xDqJGXYAA7H5N.jpg?format=jpg&name=medium","https://pbs.twimg.com/media/F9xDrFVWIAARH5E.jpg?format=jpg&name=medium",,,,,,,"id","1",,,"Gojek lang:in","0","0","0","Yuk belajar mengenai Product Photography bareng mitra Gojek! Bisa langsung daftar melalui link komin.fo/fotografi atau melalui aplikasi Digitalent Mobile. Masih dibuka sampai 12 November lho, jangan sampai ketinggalan ya!

#JadiJagoanDigital #DigitalTalentScholarship2023","2023-10-31 12:00:00+00:00",,,"https://pbs.twimg.com/profile_images/1519207214627516417/iFKOUp7o_400x400.jpg","#JadiJagoanDigital","#DigitalTalentScholarship2023",,,,,,,,,,,,,"1719323576606536126","http://komin.fo/fotografi",,,,,"https://twitter.com/DTS_kominfo/status/1719323576606536126","@DTS_kominfo"
,"Aliya Zahrani","https://pbs.twimg.com/media/F9xDOUUbgAA02oY.jpg?format=jpg&name=medium",,,,"@tanyakanrl",,,,"id","0",,,"Gojek lang:in","0","1","0","Sebel bgt ngetiknya kurang huruf H tp yaudala keliatan dr fotonya kakek² eh pas dtg trnyata beda. Oala drivernya beli akun kakek ojol ini, sebel bgt ini driver msh muda typo nya 🙂.
Btw td pesen grabbike tp pas ada driver pake atribut gojek ngangguk ak nyuruh nyamperin","2023-10-31 11:59:00+00:00",,,"https://pbs.twimg.com/profile_images/1332175516321792001/-xSMojFx_400x400.jpg",,,,,,,,,,,,,,,"1719323078604538013",,,,,,"https://twitter.com/AliyaZahrani/status/1719323078604538013","@AliyaZahrani"
